Comment,Designator,Footprint,LCSC
1k,R17,R_0402_1005Metric,C11702
STM32F401CBUx,U1,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,C118825
220p,C10,C_0402_1005Metric,C1530
HRO-TYPE-C-31-M-12,USB1,HRO-TYPE-C-31-M-12-Assembly,C165948
4.7u,C1,C_0402_1005Metric,C23733
100k,"R10,R11,R16,R3,R8,R9",R_0402_1005Metric,C25741
10k,"R4,R5,R6",R_0402_1005Metric,C25744
5.1k,"R1,R2",R_0402_1005Metric,C25905
PRTR5V0U2X,D1,SOT-143,C2827688
100n,"C11,C4,C5,C6,C7,C8,C9",C_0402_1005Metric,C307331
1u,"C12,C2,C3",C_0402_1005Metric,C52923
XC6206PxxxMR,U4,SOT-23,C5446
74HC4051,U2,TSSOP16,C5645
500mA,F1,Fuse_0603_1608Metric,C720073
OPA350,U3,VSSOP-8_3.0x3.0mm_P0.65mm,C87906
8 MHz,Y1,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,C907975
