Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4.7u,C_0402_1005Metric,10.352464,-69.684162,-135.0,bottom
C2,1u,C_0402_1005Metric,7.534796,-57.44034,180.0,bottom
C3,1u,C_0402_1005Metric,7.064796,-62.99534,-90.0,bottom
C4,100n,C_0402_1005Metric,21.807215,-68.039955,-45.0,bottom
C5,100n,C_0402_1005Metric,9.591875,-68.944751,-135.0,bottom
C6,100n,C_0402_1005Metric,13.542464,-61.61534,135.0,bottom
C7,100n,C_0402_1005Metric,21.421875,-65.539955,45.0,bottom
C8,100n,C_0402_1005Metric,18.711966,-72.97457,-45.0,bottom
C9,100n,C_0402_1005Metric,83.608002,-66.305966,0.0,bottom
C10,220p,C_0402_1005Metric,75.578439,-64.29486,-90.0,bottom
C11,100n,C_0402_1005Metric,66.704796,-60.52034,-90.0,bottom
C12,1u,C_0402_1005Metric,17.969504,-73.717032,-45.0,bottom
D1,PRTR5V0U2X,SOT-143,20.77,-16.31534,180.0,bottom
F1,500mA,Fuse_0603_1608Metric,19.02,-12.91534,90.0,bottom
R1,5.1k,R_0402_1005Metric,13.0,-3.0,0.0,bottom
R2,5.1k,R_0402_1005Metric,27.5,-3.0,0.0,bottom
R3,100k,R_0402_1005Metric,11.401875,-63.644751,135.0,bottom
R4,10k,R_0402_1005Metric,18.807215,-71.439955,135.0,bottom
R5,10k,R_0402_1005Metric,30.064796,-61.71534,0.0,bottom
R6,10k,R_0402_1005Metric,11.111875,-70.414751,45.0,bottom
R8,100k,R_0402_1005Metric,85.444796,-58.51534,180.0,bottom
R9,100k,R_0402_1005Metric,92.444796,-52.11534,180.0,bottom
R10,100k,R_0402_1005Metric,91.566874,-58.260624,-45.0,bottom
R11,100k,R_0402_1005Metric,78.649322,-66.71534,0.0,bottom
R16,100k,R_0402_1005Metric,70.194796,-61.00034,0.0,bottom
R17,1k,R_0402_1005Metric,74.304796,-62.64034,90.0,bottom
U1,STM32F401CBUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,15.27,-67.229126,135.0,bottom
U2,74HC4051,TSSOP16,81.113662,-62.84204,90.0,bottom
U3,OPA350,VSSOP-8_3.0x3.0mm_P0.65mm,70.104796,-63.47534,180.0,bottom
U4,XC6206PxxxMR,SOT-23,8.014796,-59.97784,90.0,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-Assembly,20.275,0.9125,0.0,bottom
Y1,8 MHz,Resonator_SMD_Murata_CSTxExxV-3Pin_3.0x1.1mm,21.207215,-70.089955,135.0,bottom
